,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
78,2,2,0,0,15,5,2011,0,2,20.466666699999998,44.8
79,3,2,0,0,15,5,2011,1,2,20.466666699999998,44.8
80,4,2,0,0,15,5,2011,1,1,20.466666699999998,44.8
81,5,2,0,1,15,5,2011,0,2,20.466666699999998,44.8
82,6,2,1,3,15,5,2011,1,0,20.466666699999998,44.8
83,7,2,1,1,15,5,2011,0,0,20.466666699999998,44.8
84,8,2,0,0,15,5,2011,1,1,20.466666699999998,44.8
85,9,2,0,0,15,5,2011,0,1,20.466666699999998,44.8
86,10,2,0,0,15,5,2011,0,1,20.466666699999998,44.8
87,11,2,1,1,15,5,2011,0,0,20.466666699999998,44.8
88,12,2,0,1,15,5,2011,0,1,20.466666699999998,44.8
89,13,2,1,1,15,5,2011,0,1,20.466666699999998,44.8
90,14,2,1,1,15,5,2011,0,0,20.466666699999998,44.8
91,15,2,1,2,15,5,2011,0,0,20.466666699999998,44.8
92,16,2,1,3,15,5,2011,1,1,20.466666699999998,44.8
93,17,2,1,1,15,5,2011,0,1,20.466666699999998,44.8
94,18,2,2,3,15,5,2011,2,2,20.466666699999998,44.8
95,19,2,0,0,15,5,2011,0,1,20.466666699999998,44.8
96,20,2,1,1,15,5,2011,0,1,20.466666699999998,44.8
97,21,2,1,3,15,5,2011,1,1,20.466666699999998,44.8
98,22,2,1,1,15,5,2011,0,0,20.466666699999998,44.8
99,23,2,0,0,15,5,2011,0,0,20.466666699999998,44.8
100,24,2,0,0,15,5,2011,0,0,20.466666699999998,44.8
101,25,2,1,3,15,5,2011,1,2,20.466666699999998,44.8
102,1,2,0,0,22,5,2011,0,0,20.466666699999998,44.8
103,2,2,0,0,22,5,2011,0,2,20.466666699999998,44.8
104,3,2,0,0,22,5,2011,1,2,20.466666699999998,44.8
105,4,2,0,0,22,5,2011,1,1,20.466666699999998,44.8
106,5,2,0,0,22,5,2011,0,2,20.466666699999998,44.8
107,6,2,1,3,22,5,2011,1,0,20.466666699999998,44.8
108,7,2,0,0,22,5,2011,0,0,20.466666699999998,44.8
109,8,2,0,0,22,5,2011,1,1,20.466666699999998,44.8
110,9,2,0,0,22,5,2011,0,1,20.466666699999998,44.8
111,10,2,1,1,22,5,2011,0,1,20.466666699999998,44.8
112,11,2,0,1,22,5,2011,0,0,20.466666699999998,44.8
113,12,2,0,0,22,5,2011,0,1,20.466666699999998,44.8
114,13,2,1,1,22,5,2011,0,1,20.466666699999998,44.8
115,14,2,0,1,22,5,2011,0,0,20.466666699999998,44.8
116,15,2,1,2,22,5,2011,0,0,20.466666699999998,44.8
117,16,2,1,3,22,5,2011,1,1,20.466666699999998,44.8
118,17,2,0,1,22,5,2011,0,1,20.466666699999998,44.8
119,18,2,3,3,22,5,2011,2,2,20.466666699999998,44.8
120,19,2,0,0,22,5,2011,0,1,20.466666699999998,44.8
121,20,2,1,1,22,5,2011,0,1,20.466666699999998,44.8
122,21,2,1,3,22,5,2011,1,1,20.466666699999998,44.8
123,22,2,0,1,22,5,2011,0,0,20.466666699999998,44.8
124,23,2,0,0,22,5,2011,0,0,20.466666699999998,44.8
125,24,2,0,0,22,5,2011,0,0,20.466666699999998,44.8
126,25,2,1,3,22,5,2011,1,2,20.466666699999998,44.8
127,1,3,0,0,22,5,2011,0,0,20.3497222,43.891388899999995
128,2,3,0,0,22,5,2011,0,2,20.3497222,43.891388899999995
129,3,3,0,0,22,5,2011,1,2,20.3497222,43.891388899999995
130,4,3,0,0,22,5,2011,1,1,20.3497222,43.891388899999995
131,5,3,0,1,22,5,2011,0,2,20.3497222,43.891388899999995
132,6,3,1,3,22,5,2011,1,0,20.3497222,43.891388899999995
133,7,3,0,1,22,5,2011,0,0,20.3497222,43.891388899999995
134,8,3,0,0,22,5,2011,1,1,20.3497222,43.891388899999995
135,9,3,0,0,22,5,2011,0,1,20.3497222,43.891388899999995
136,10,3,1,1,22,5,2011,0,1,20.3497222,43.891388899999995
137,11,3,0,1,22,5,2011,0,0,20.3497222,43.891388899999995
138,12,3,1,1,22,5,2011,0,1,20.3497222,43.891388899999995
139,13,3,1,1,22,5,2011,0,1,20.3497222,43.891388899999995
140,14,3,1,1,22,5,2011,0,0,20.3497222,43.891388899999995
141,15,3,1,2,22,5,2011,0,0,20.3497222,43.891388899999995
142,16,3,0,3,22,5,2011,1,1,20.3497222,43.891388899999995
143,17,3,0,0,22,5,2011,0,1,20.3497222,43.891388899999995
144,18,3,2,3,22,5,2011,2,2,20.3497222,43.891388899999995
145,19,3,0,0,22,5,2011,0,1,20.3497222,43.891388899999995
146,20,3,1,1,22,5,2011,0,1,20.3497222,43.891388899999995
147,21,3,1,3,22,5,2011,1,1,20.3497222,43.891388899999995
148,22,3,1,1,22,5,2011,0,0,20.3497222,43.891388899999995
149,23,3,0,0,22,5,2011,0,0,20.3497222,43.891388899999995
150,24,3,0,0,22,5,2011,0,0,20.3497222,43.891388899999995
151,25,3,1,3,22,5,2011,1,2,20.3497222,43.891388899999995
152,1,6,0,0,22,5,2011,0,0,19.5263889,45.6088889
153,2,6,0,0,22,5,2011,0,2,19.5263889,45.6088889
154,3,6,0,0,22,5,2011,1,2,19.5263889,45.6088889
155,4,6,0,0,22,5,2011,1,1,19.5263889,45.6088889
156,5,6,0,1,22,5,2011,0,2,19.5263889,45.6088889
157,6,6,0,0,22,5,2011,1,0,19.5263889,45.6088889
158,7,6,0,1,22,5,2011,0,0,19.5263889,45.6088889
159,8,6,1,3,22,5,2011,1,1,19.5263889,45.6088889
160,9,6,0,0,22,5,2011,0,1,19.5263889,45.6088889
161,10,6,0,0,22,5,2011,0,1,19.5263889,45.6088889
162,11,6,1,1,22,5,2011,0,0,19.5263889,45.6088889
163,12,6,0,1,22,5,2011,0,1,19.5263889,45.6088889
164,13,6,1,1,22,5,2011,0,1,19.5263889,45.6088889
165,14,6,0,1,22,5,2011,0,0,19.5263889,45.6088889
166,15,6,1,2,22,5,2011,0,0,19.5263889,45.6088889
167,16,6,0,3,22,5,2011,1,1,19.5263889,45.6088889
168,17,6,0,0,22,5,2011,0,1,19.5263889,45.6088889
169,18,6,3,3,22,5,2011,2,2,19.5263889,45.6088889
170,19,6,0,0,22,5,2011,0,1,19.5263889,45.6088889
171,20,6,0,0,22,5,2011,0,1,19.5263889,45.6088889
172,21,6,0,0,22,5,2011,1,1,19.5263889,45.6088889
173,22,6,1,1,22,5,2011,0,0,19.5263889,45.6088889
174,23,6,0,0,22,5,2011,0,0,19.5263889,45.6088889
